n =  1039, term = 12, ratio = 1.047351, overshoot = 7.479701e+465
n =  1051, term = 12, ratio = 1.033768, overshoot = 1.398293e+471
n =  1063, term = 12, ratio = 1.020563, overshoot = 2.232107e+476
n =  1075, term = 12, ratio = 1.007449, overshoot = 2.119577e+481
n =  1088, term = 13, ratio = 1.036704, overshoot = 1.095187e+488
n =  1100, term = 12, ratio = 1.021972, overshoot = 1.718604e+493
n =  1112, term = 12, ratio = 1.007761, overshoot = 1.591339e+498
n =  1125, term = 13, ratio = 1.031986, overshoot = 6.877249e+504
n =  1137, term = 12, ratio = 1.012060, overshoot = 6.797514e+509
n =  1150, term = 13, ratio = 1.063089, overshoot = 1.864300e+516
n =  1162, term = 12, ratio = 1.048688, overshoot = 3.771611e+521
n =  1174, term = 12, ratio = 1.034471, overshoot = 7.000042e+526
n =  1186, term = 12, ratio = 1.008562, overshoot = 4.557931e+531
n =  1199, term = 13, ratio = 1.037292, overshoot = 2.081596e+538
n =  1211, term = 12, ratio = 1.021621, overshoot = 3.163716e+543
n =  1223, term = 12, ratio = 1.006248, overshoot = 2.396684e+548
n =  1236, term = 13, ratio = 1.028887, overshoot = 1.161892e+555
n =  1248, term = 12, ratio = 1.010091, overshoot = 1.064001e+560
n =  1261, term = 13, ratio = 1.059356, overshoot = 3.281240e+566
n =  1273, term = 12, ratio = 1.043910, overshoot = 6.363250e+571
n =  1285, term = 12, ratio = 1.028536, overshoot = 1.084029e+577
n =  1297, term = 12, ratio = 1.007548, overshoot = 7.516439e+581
n =  1310, term = 13, ratio = 1.033922, overshoot = 3.542239e+588
n =  1322, term = 12, ratio = 1.017342, overshoot = 4.747091e+593
n =  1335, term = 13, ratio = 1.066184, overshoot = 9.498496e+599
n =  1347, term = 12, ratio = 1.048187, overshoot = 1.812881e+605
n =  1359, term = 12, ratio = 1.031095, overshoot = 3.066670e+610
n =  1371, term = 12, ratio = 1.014258, overshoot = 3.686177e+615
n =  1384, term = 13, ratio = 1.024834, overshoot = 6.732501e+621
n =  1396, term = 12, ratio = 1.004756, overshoot = 3.379750e+626
n =  1409, term = 13, ratio = 1.030086, overshoot = 2.241955e+633
n =  1421, term = 12, ratio = 1.012706, overshoot = 2.482012e+638
n =  1434, term = 13, ratio = 1.067452, overshoot = 6.908159e+644
n =  1446, term = 12, ratio = 1.046974, overshoot = 1.261148e+650
n =  1458, term = 12, ratio = 1.028507, overshoot = 2.006335e+655
n =  1470, term = 12, ratio = 1.010534, overshoot = 1.943445e+660
n =  1483, term = 13, ratio = 1.039413, overshoot = 7.624903e+666
n =  1495, term = 12, ratio = 1.015440, overshoot = 7.830378e+671
n =  1508, term = 13, ratio = 1.034115, overshoot = 1.814163e+678
